block;russian;fr;es;pt;ar;zh
beginner_1000;я;Je;yo;Eu;أنا;我
beginner_1000;ты;vous;tu;você;أنت;你
beginner_1000;он;il;él;ele;هو;他
beginner_1000;она;elle;ella;ela;هي;她
beginner_1000;оно;il;eso;isso;ذلك;它
beginner_1000;мы;nous;nosotros;nós;نحن;我们
beginner_1000;вы;vous;tu;você;أنت;你
beginner_1000;они;ils;ellos;eles;هم;他们
beginner_1000;это;ceci;esto;isso;هذا;这个
beginner_1000;тот;que;que;que;ذلك;那
beginner_1000;кто;qui;quien;quem;من;谁
beginner_1000;что;quoi;qué;o que;ماذا;什么
beginner_1000;где;où;donde;onde;حيث;哪里
beginner_1000;когда;quand;cuando;quando;متى;当
beginner_1000;как;comment;cómo;como;كيف;如何
beginner_1000;почему;pourquoi;por qué;por que;لماذا;为什么
beginner_1000;да;oui;sí;sim;نعم;是的
beginner_1000;нет;non;no;não;لا;没有
beginner_1000;и;et;y;e;و;和
beginner_1000;или;ou;o;ou;أو;或
beginner_1000;но;mais;pero;mas;ولكن;但是
beginner_1000;если;si;si;se;إذا;如果
beginner_1000;потому что;parce que;porque;porque;لأنه;因为
beginner_1000;очень;très;muy;muito;جداً;非常
beginner_1000;тоже;également;también;também;أيضاً;也
beginner_1000;уже;déjà;ya;já;بالفعل;已经
beginner_1000;ещё;encore;todavía;ainda;لا يزال;仍然
beginner_1000;здесь;ici;aquí;aqui;هنا;这里
beginner_1000;там;là;allí;lá;هناك;那里
beginner_1000;сейчас;maintenant;ahora;agora;الآن;现在
beginner_1000;потом;plus tard;más tarde;mais tarde;فيما بعد;稍后
beginner_1000;всегда;toujours;siempre;sempre;دائما;总是
beginner_1000;никогда;jamais;nunca;nunca;أبدا;从来没有
beginner_1000;часто;souvent;a menudo;frequentemente;غالبا;经常
beginner_1000;редко;rarement;raramente;raramente;نادرا;很少
beginner_1000;много;beaucoup;muchos;muitos;كثيرة;很多
beginner_1000;мало;quelques;pocos;poucos;قليلة;几个
beginner_1000;больше;plus;más;mais;المزيد;更多
beginner_1000;меньше;moins;menos;menos;أقل;少
beginner_1000;всё;tout;todo;tudo;كل شيء;一切
beginner_1000;ничего;rien;nada;nada;لا شيء;没什么
beginner_1000;кто-то;quelqu'un;alguien;alguém;شخص ما;某人
beginner_1000;каждый;chaque;cada;cada;كل;每
beginner_1000;другой;autre;otro;outro;أخرى;其他
beginner_1000;новый;nouveau;nuevo;novo;جديد;新
beginner_1000;старый;vieux;viejo;antigo;قديما;老
beginner_1000;хороший;bien;bueno;bom;جيد;好
beginner_1000;плохой;mauvais;malo;ruim;سيئة;不好
beginner_1000;большой;gros;grande;grande;كبيرة;大
beginner_1000;маленький;petit;pequeño;pequeno;صغير;小
beginner_1000;длинный;longue;largo;longo;طويلة;长
beginner_1000;короткий;court;corto;curto;باختصار;短
beginner_1000;высокий;élevé;alto;alto;عالية;高
beginner_1000;низкий;faible;bajo;baixo;منخفض;低
beginner_1000;первый;d'abord;primero;primeiro;أولا;第一
beginner_1000;последний;dernier;último;último;الاخير;最后
beginner_1000;важный;important;importante;importante;مهم;重要
beginner_1000;русский;Russe;Ruso;Russo;الروسية;俄语
