block;russian;transcription;english;translations;examples
fruits_vegetables_120;я́блоко;/yabloko/;apple;apple;Это я́блоко. | На столе есть я́блоко.
fruits_vegetables_120;гру́ша;/grusha/;pear;pear;Это гру́ша. | На столе есть гру́ша.
fruits_vegetables_120;бана́н;/banan/;banana;banana;Это бана́н. | На столе есть бана́н.
fruits_vegetables_120;апельси́н;/apyelsin/;orange;orange;Это апельси́н. | На столе есть апельси́н.
fruits_vegetables_120;мандари́н;/mandarin/;tangerine;tangerine;Это мандари́н. | На столе есть мандари́н.
fruits_vegetables_120;лимо́н;/limon/;lemon;lemon;Это лимо́н. | На столе есть лимо́н.
fruits_vegetables_120;ла́йм;/laym/;lime;lime;Это ла́йм. | На столе есть ла́йм.
fruits_vegetables_120;грейпфру́т;/gryeypfrut/;grapefruit;grapefruit;Это грейпфру́т. | На столе есть грейпфру́т.
fruits_vegetables_120;поме́ло;/pomyelo/;pomelo;pomelo;Это поме́ло. | На столе есть поме́ло.
fruits_vegetables_120;пе́рсик;/pyersik/;peach;peach;Это пе́рсик. | На столе есть пе́рсик.
fruits_vegetables_120;нектари́н;/nyektarin/;nectarine;nectarine;Это нектари́н. | На столе есть нектари́н.
fruits_vegetables_120;абрико́с;/abrikos/;apricot;apricot;Это абрико́с. | На столе есть абрико́с.
fruits_vegetables_120;сли́ва;/sliva/;plum;plum;Это сли́ва. | На столе есть сли́ва.
fruits_vegetables_120;алыча́;/alycha/;cherry plum;cherry plum;Это алыча́. | На столе есть алыча́.
fruits_vegetables_120;ви́шня;/vishnya/;sour cherry;sour cherry;Это ви́шня. | На столе есть ви́шня.
fruits_vegetables_120;чере́шня;/chyeryeshnya/;sweet cherry;sweet cherry;Это чере́шня. | На столе есть чере́шня.
fruits_vegetables_120;виногра́д;/vinograd/;grapes;grapes;Это виногра́д. | На столе есть виногра́д.
fruits_vegetables_120;арбу́з;/arbuz/;watermelon;watermelon;Это арбу́з. | На столе есть арбу́з.
fruits_vegetables_120;ды́ня;/dynya/;melon;melon;Это ды́ня. | На столе есть ды́ня.
fruits_vegetables_120;анана́с;/ananas/;pineapple;pineapple;Это анана́с. | На столе есть анана́с.
fruits_vegetables_120;ма́нго;/mango/;mango;mango;Это ма́нго. | На столе есть ма́нго.
fruits_vegetables_120;папа́йя;/papayya/;papaya;papaya;Это папа́йя. | На столе есть папа́йя.
fruits_vegetables_120;ки́ви;/kivi/;kiwi;kiwi;Это ки́ви. | На столе есть ки́ви.
fruits_vegetables_120;грана́т;/granat/;pomegranate;pomegranate;Это грана́т. | На столе есть грана́т.
fruits_vegetables_120;инжи́р;/inzhir/;fig;fig;Это инжи́р. | На столе есть инжи́р.
fruits_vegetables_120;хурма́;/khurma/;persimmon;persimmon;Это хурма́. | На столе есть хурма́.
fruits_vegetables_120;айва́;/ayva/;quince;quince;Это айва́. | На столе есть айва́.
fruits_vegetables_120;коко́с;/kokos/;coconut;coconut;Это коко́с. | На столе есть коко́с.
fruits_vegetables_120;авока́до;/avokado/;avocado;avocado;Это авока́до. | На столе есть авока́до.
fruits_vegetables_120;фи́ник;/finik/;date;date;Это фи́ник. | На столе есть фи́ник.
fruits_vegetables_120;мали́на;/malina/;raspberry;raspberry;Это мали́на. | На столе есть мали́на.
fruits_vegetables_120;клубни́ка;/klubnika/;strawberry;strawberry;Это клубни́ка. | На столе есть клубни́ка.
fruits_vegetables_120;земляни́ка;/zyemlyanika/;wild strawberry;wild strawberry;Это земляни́ка. | На столе есть земляни́ка.
fruits_vegetables_120;черни́ка;/chyernika/;bilberry;bilberry;Это черни́ка. | На столе есть черни́ка.
fruits_vegetables_120;голуби́ка;/golubika/;blueberry;blueberry;Это голуби́ка. | На столе есть голуби́ка.
fruits_vegetables_120;ежеви́ка;/yezhyevika/;blackberry;blackberry;Это ежеви́ка. | На столе есть ежеви́ка.
fruits_vegetables_120;сморо́дина;/smorodina/;currant;currant;Это сморо́дина. | На столе есть сморо́дина.
fruits_vegetables_120;крыжо́вник;/kryzhovnik/;gooseberry;gooseberry;Это крыжо́вник. | На столе есть крыжо́вник.
