block;russian;english;examples
beginner_1000;я;I;
beginner_1000;ты;you;
beginner_1000;он;he;
beginner_1000;она;she;
beginner_1000;оно;it;
beginner_1000;мы;we;
beginner_1000;вы;you;
beginner_1000;они;they;
beginner_1000;это;this;
beginner_1000;тот;that;
beginner_1000;кто;who;
beginner_1000;что;what;
beginner_1000;где;where;
beginner_1000;когда;when;
beginner_1000;как;how;
beginner_1000;почему;why;
beginner_1000;да;yes;
beginner_1000;нет;no;
beginner_1000;и;and;
beginner_1000;или;or;
beginner_1000;но;but;
beginner_1000;если;if;
beginner_1000;потому что;because;
beginner_1000;очень;very;
beginner_1000;тоже;also;
beginner_1000;уже;already;
beginner_1000;ещё;still;
beginner_1000;здесь;here;
beginner_1000;там;there;
beginner_1000;сейчас;now;
beginner_1000;потом;later;
beginner_1000;всегда;always;
beginner_1000;никогда;never;
beginner_1000;часто;often;
beginner_1000;редко;rarely;
beginner_1000;много;many;
beginner_1000;мало;few;
beginner_1000;больше;more;
beginner_1000;меньше;less;
beginner_1000;всё;everything;
beginner_1000;ничего;nothing;
beginner_1000;кто-то;someone;
beginner_1000;каждый;every;
beginner_1000;другой;other;
beginner_1000;новый;new;
beginner_1000;старый;old;
beginner_1000;хороший;good;
beginner_1000;плохой;bad;
beginner_1000;большой;big;
beginner_1000;маленький;small;
beginner_1000;длинный;long;
beginner_1000;короткий;short;
beginner_1000;высокий;high;
beginner_1000;низкий;low;
beginner_1000;первый;first;
beginner_1000;последний;last;
beginner_1000;важный;important;
beginner_1000;русский;Russian;
beginner_1000;английский;English;
beginner_1000;человек;person;
beginner_1000;люди;people;
beginner_1000;мужчина;man;
beginner_1000;женщина;woman;
beginner_1000;ребёнок;child;
beginner_1000;друг;friend;
beginner_1000;семья;family;
beginner_1000;мать;mother;
beginner_1000;отец;father;
beginner_1000;сын;son;
beginner_1000;дочь;daughter;
beginner_1000;брат;brother;
beginner_1000;сестра;sister;
beginner_1000;дом;house;
beginner_1000;квартира;apartment;
beginner_1000;комната;room;
beginner_1000;дверь;door;
beginner_1000;окно;window;
beginner_1000;стол;table;
beginner_1000;стул;chair;
beginner_1000;кровать;bed;
beginner_1000;книга;book;
beginner_1000;слово;word;
beginner_1000;вопрос;question;
beginner_1000;ответ;answer;
beginner_1000;работа;work;
beginner_1000;деньги;money;
beginner_1000;время;time;
beginner_1000;день;day;
beginner_1000;ночь;night;
beginner_1000;утро;morning;
beginner_1000;вечер;evening;
beginner_1000;неделя;week;
beginner_1000;месяц;month;
beginner_1000;год;year;
beginner_1000;сегодня;today;
beginner_1000;вчера;yesterday;
beginner_1000;завтра;tomorrow;
beginner_1000;час;hour;
beginner_1000;минута;minute;
beginner_1000;секунда;second;
beginner_1000;дорога;road;
beginner_1000;машина;car;
beginner_1000;поезд;train;
